"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "XML", "comment", "blank", "total"
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\delete\ui\ui.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\buttons\download\ui\ui.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\ui\ui.module.scss", "SCSS", 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\date\ui\ui.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\ui\ui.module.scss", "SCSS", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowDocumentItem\title\ui\ui.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 6, 16
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\ui\ui.module.scss", "SCSS", 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphDate\ui\ui.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\model\index.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 5, 46
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\ui\ui.module.scss", "SCSS", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\flowView-slice\flowGraphTitle\ui\ui.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\data\items.ts", "TypeScript", 30, 0, 0, 0, 0, 1, 3, 34
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\ui\ui.module.scss", "SCSS", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\header\ui\ui.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 5, 71
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\ui\ui.module.scss", "SCSS", 0, 0, 28, 0, 0, 0, 7, 35
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\header-slice\sideHeader\ui\ui.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\ui\ui.module.scss", "SCSS", 0, 0, 49, 0, 0, 0, 10, 59
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\news-slice\article\ui\ui.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\ui\ui.module.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 16
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementItem\ui\ui.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 1, 17
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\achievementProgressBar\ui\ui.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\ui\ui.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\entities\profile-slice\userLogo\ui\ui.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\api\index.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\ui\ui.module.scss", "SCSS", 0, 0, 34, 0, 0, 0, 3, 37
